Header,Data
2024/01 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Norte	Amazonas	2024/15	166
Norte	Para	2024/15	878
Norte	Rondonia	2024/15	136
Norte	Roraima	2024/15	6
Norte	Tocantins	2024/15	300
Sudeste	Espirito Santo	2024/15	7,228
Sudeste	Minas Gerais	2024/15	94,576
Sudeste	Rio De Janeiro	2024/15	12,445
Sudeste	Sao Paulo	2024/15	153,965
Sul	Parana	2024/15	45,080
Sul	Rio Grande Do Sul	2024/15	21,107
Sul	Santa Catarina	2024/15	30,327"
2024/16 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/16	7,332
Centro-Oeste	Goias	2024/16	18,202
Centro-Oeste	Mato Grosso	2024/16	2,059
Centro-Oeste	Mato Grosso Do Sul	2024/16	948
Nordeste	Alagoas	2024/16	529
Nordeste	Bahia	2024/16	15,741
Nordeste	Ceara	2024/16	779
Nordeste	Maranhao	2024/16	689
Nordeste	Paraiba	2024/16	648
Nordeste	Pernambuco	2024/16	1,162
Nordeste	Piaui	2024/16	745
Nordeste	Rio Grande Do Norte	2024/16	781
Nordeste	Sergipe	2024/16	61
Norte	Acre	2024/16	99
Norte	Amapa	2024/16	305
Norte	Amazonas	2024/16	149
Norte	Para	2024/16	854
Norte	Rondonia	2024/16	154
Norte	Roraima	2024/16	14
Norte	Tocantins	2024/16	314
Sudeste	Espirito Santo	2024/16	6,557
Sudeste	Minas Gerais	2024/16	74,349
Sudeste	Rio De Janeiro	2024/16	10,068
Sudeste	Sao Paulo	2024/16	146,836
Sul	Parana	2024/16	44,348
Sul	Rio Grande Do Sul	2024/16	21,471
Sul	Santa Catarina	2024/16	29,669"
2024/17 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/17	5,512
Centro-Oeste	Goias	2024/17	16,493
Centro-Oeste	Mato Grosso	2024/17	2,036
Centro-Oeste	Mato Grosso Do Sul	2024/17	925
Nordeste	Alagoas	2024/17	508
Nordeste	Bahia	2024/17	12,401
Nordeste	Ceara	2024/17	643
Nordeste	Maranhao	2024/17	469
Nordeste	Paraiba	2024/17	448
Nordeste	Pernambuco	2024/17	917
Nordeste	Piaui	2024/17	684
Nordeste	Rio Grande Do Norte	2024/17	627
Nordeste	Sergipe	2024/17	69
Norte	Acre	2024/17	72
Norte	Amapa	2024/17	210
Norte	Amazonas	2024/17	104
Norte	Para	2024/17	675
Norte	Rondonia	2024/17	128
Norte	Roraima	2024/17	10
Norte	Tocantins	2024/17	248
Sudeste	Espirito Santo	2024/17	5,359
Sudeste	Minas Gerais	2024/17	58,883
Sudeste	Rio De Janeiro	2024/17	8,106
Sudeste	Sao Paulo	2024/17	140,091
Sul	Parana	2024/17	34,807
Sul	Rio Grande Do Sul	2024/17	18,836
Sul	Santa Catarina	2024/17	25,491"
2024/18 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/18	4,332
Centro-Oeste	Goias	2024/18	15,878
